-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,2010,6.5,79.5,0.08,0.09,0.09,0.1,0.09,0.08,0.07,0.08,0.1,0.09,0.08,0.08,0.09
ALLSKY_SRF_ALB,2010,6.5,80.5,0.14,0.14,0.14,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15
ALLSKY_SRF_ALB,2010,6.5,81.5,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09
ALLSKY_SRF_ALB,2010,7.5,79.5,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.08,0.08,0.07,0.08
ALLSKY_SRF_ALB,2010,7.5,80.5,0.14,0.13,0.13,0.15,0.17,0.16,0.16,0.16,0.17,0.16,0.14,0.14,0.15
ALLSKY_SRF_ALB,2010,7.5,81.5,0.12,0.11,0.11,0.09,0.11,0.09,0.1,0.12,0.12,0.11,0.09,0.08,0.1
ALLSKY_SRF_ALB,2010,8.5,79.5,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.05,0.05,0.06
ALLSKY_SRF_ALB,2010,8.5,80.5,0.13,0.12,0.12,0.13,0.14,0.13,0.13,0.13,0.14,0.14,0.12,0.12,0.13
ALLSKY_SRF_ALB,2010,8.5,81.5,0.04,0.04,0.05,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04
ALLSKY_SRF_ALB,2010,9.5,79.5,0.09,0.07,0.06,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.06
ALLSKY_SRF_ALB,2010,9.5,80.5,0.07,0.06,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.06
ALLSKY_SRF_ALB,2010,9.5,81.5,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
ALLSKY_SRF_ALB,2011,6.5,79.5,0.08,0.09,0.09,0.11,0.09,0.08,0.09,0.08,0.1,0.1,0.09,0.08,0.09
ALLSKY_SRF_ALB,2011,6.5,80.5,0.14,0.14,0.14,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15
ALLSKY_SRF_ALB,2011,6.5,81.5,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.09
ALLSKY_SRF_ALB,2011,7.5,79.5,0.07,0.08,0.07,0.08,0.08,0.09,0.12,0.08,0.09,0.07,0.07,0.07,0.08
ALLSKY_SRF_ALB,2011,7.5,80.5,0.13,0.13,0.13,0.13,0.14,0.15,0.17,0.15,0.17,0.16,0.13,0.13,0.14
ALLSKY_SRF_ALB,2011,7.5,81.5,0.09,0.09,0.1,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.1
